City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,lavrentiya,65.5833,-171.0,-25.85,88,99,3.2,RU,"02/14/23,23:24:38"
68,san ramon,37.7799,-121.978,11.56,59,40,8.23,US,"02/14/23,23:24:05"
69,alpena,45.0617,-83.4327,7.14,78,0,3.6,US,"02/14/23,23:24:38"
70,port alfred,-33.5906,26.891,22.32,96,100,1.79,ZA,"02/14/23,23:24:39"
71,sinnamary,5.3833,-52.95,24.8,91,98,4.88,GF,"02/14/23,23:24:39"
72,malko tarnovo,41.9833,27.5333,0.67,85,15,2.72,BG,"02/14/23,23:24:40"
73,phangnga,8.4509,98.5298,24.02,90,55,1.32,TH,"02/14/23,23:24:40"
74,hermanus,-34.4187,19.2345,20.45,84,95,4.22,ZA,"02/14/23,23:24:41"
75,kodiak,57.79,-152.4072,3.73,70,20,4.12,US,"02/14/23,23:24:41"
76,kaitangata,-46.2817,169.8464,17.51,69,100,3.47,NZ,"02/14/23,23:24:42"
77,akureyri,65.6835,-18.0878,2.96,60,20,6.17,IS,"02/14/23,23:24:42"
78,pouebo,-20.4,164.5667,26.87,63,38,1.58,NC,"02/14/23,23:24:43"
79,goderich,43.7501,-81.7165,7.18,49,74,4.63,CA,"02/14/23,23:24:43"
80,marawi,7.9986,124.2928,19.56,97,100,1.55,PH,"02/14/23,23:24:44"
81,itaueira,-7.6033,-43.0256,28.91,46,100,0.85,BR,"02/14/23,23:24:44"
82,port lincoln,-34.7333,135.8667,24.64,38,17,5.43,AU,"02/14/23,23:24:45"
83,tupik,54.4253,119.9327,-23.6,99,100,0.32,RU,"02/14/23,23:24:45"
84,bubaque,11.2833,-15.8333,23.9,79,3,6.9,GW,"02/14/23,23:24:46"
85,dunedin,-45.8742,170.5036,18.22,75,100,1.34,NZ,"02/14/23,23:24:46"
86,butaritari,3.0707,172.7902,27.45,70,100,5.52,KI,"02/14/23,23:24:47"
87,rafai,4.95,23.9167,23.28,31,52,1.34,CF,"02/14/23,23:24:47"
88,galle,6.0367,80.217,24.35,86,29,2.06,LK,"02/14/23,23:24:48"
89,inta,66.0317,60.1659,-8.79,92,99,4.87,RU,"02/14/23,23:24:48"
90,baghdad,33.3406,44.4009,8.95,43,0,1.03,IQ,"02/14/23,23:22:44"
91,bati,11.1833,40.0167,16.99,49,6,2.0,ET,"02/14/23,23:24:49"
92,avera,33.194,-82.5271,18.73,60,57,2.68,US,"02/14/23,23:24:49"
93,zambezi,-13.5432,23.1047,18.46,91,80,1.66,ZM,"02/14/23,23:24:50"
94,barrow,71.2906,-156.7887,-20.99,77,100,6.69,US,"02/14/23,23:24:50"
95,saint-philippe,-21.3585,55.7679,25.77,83,92,5.14,RE,"02/14/23,23:24:51"
96,asau,46.4333,26.4,2.51,90,33,2.56,RO,"02/14/23,23:24:51"
97,vieques,18.425,-65.8329,26.01,78,40,5.14,PR,"02/14/23,23:24:52"
98,joshimath,30.5667,79.5667,9.01,31,0,4.71,IN,"02/14/23,23:24:52"
