City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,lima,-12.0432,-77.0282,24.94,80,0,4.12,PE,"02/13/23,04:13:12"
67,black river,18.0264,-77.8487,22.97,81,29,1.6,JM,"02/13/23,04:23:40"
68,tasiilaq,65.6145,-37.6368,-5.91,69,100,5.45,GL,"02/13/23,04:23:40"
69,kenora,49.8167,-94.4337,-3.46,86,0,3.09,CA,"02/13/23,04:23:41"
70,gravelbourg,49.8834,-106.5512,-0.85,84,80,4.75,CA,"02/13/23,04:23:42"
71,bengkulu,-3.8004,102.2655,28.46,63,99,3.83,ID,"02/13/23,04:23:43"
72,udachnyy,66.4167,112.4,-22.4,96,100,3.83,RU,"02/13/23,04:23:43"
73,inuvik,68.3499,-133.7218,-31.52,75,100,1.03,CA,"02/13/23,04:23:44"
74,manyana,-23.4,21.7167,20.97,41,14,2.49,BW,"02/13/23,04:23:44"
75,santarem,-2.4431,-54.7083,24.07,94,0,1.03,BR,"02/13/23,04:23:45"
76,birin,26.8865,88.0718,13.47,44,0,3.18,NP,"02/13/23,04:23:45"
77,torbay,47.6666,-52.7314,-3.74,92,20,7.72,CA,"02/13/23,04:23:46"
78,yar-sale,66.8333,70.8333,-10.1,92,100,7.85,RU,"02/13/23,04:23:46"
79,chapais,49.7834,-74.8492,-13.12,100,35,1.75,CA,"02/13/23,04:23:46"
80,garowe,8.4054,48.4845,17.89,49,0,1.96,SO,"02/13/23,04:23:47"
81,troitsko-pechorsk,62.7084,56.1964,-9.07,94,100,3.39,RU,"02/13/23,04:23:47"
82,nishihara,26.1842,127.7558,24.82,78,20,8.23,JP,"02/13/23,04:23:48"
83,sexsmith,55.35,-118.786,3.64,70,75,12.86,CA,"02/13/23,04:23:49"
84,mazatlan,23.2167,-106.4167,21.06,76,75,2.06,MX,"02/13/23,04:20:04"
85,derzhavinsk,51.1,66.3167,-17.97,99,100,3.04,KZ,"02/13/23,04:23:49"
86,bilibino,68.0546,166.4372,-26.24,94,100,0.6,RU,"02/13/23,04:23:50"
87,bowen,-20.0167,148.2333,29.07,62,18,5.79,AU,"02/13/23,04:23:50"
88,huescar,37.811,-2.5412,3.95,88,4,2.39,ES,"02/13/23,04:23:51"
89,saldanha,-33.0117,17.9442,16.96,94,3,1.65,ZA,"02/13/23,04:23:51"
90,riyadh,24.6877,46.7219,13.08,44,72,3.55,SA,"02/13/23,04:23:52"
91,wenling,28.3669,121.36,11.58,83,99,8.98,CN,"02/13/23,04:23:52"
92,mindif,10.3976,14.4363,21.93,20,32,5.39,CM,"02/13/23,04:23:53"
93,bredasdorp,-34.5322,20.0403,20.28,75,10,0.9,ZA,"02/13/23,04:23:53"
94,mathbaria,22.2876,89.9593,25.81,14,0,5.29,BD,"02/13/23,04:23:54"
95,villefranche-de-rouergue,44.3333,2.0,1.43,56,0,1.49,FR,"02/13/23,04:23:55"
96,sisimiut,66.9395,-53.6735,-28.0,91,30,3.1,GL,"02/13/23,04:23:55"
97,faya,18.3851,42.4509,14.29,28,0,2.33,SA,"02/13/23,04:23:56"
98,cairns,-16.9167,145.7667,31.73,62,95,4.12,AU,"02/13/23,04:20:43"
99,huarmey,-10.0681,-78.1522,23.44,83,100,2.65,PE,"02/13/23,04:23:56"
100,harper,4.375,-7.7169,26.25,87,8,2.82,LR,"02/13/23,04:23:57"
101,puerto ayora,-0.7393,-90.3518,25.86,93,65,2.76,EC,"02/13/23,04:23:57"
102,batagay-alyta,67.8006,130.4114,-35.87,92,11,0.99,RU,"02/13/23,04:23:58"
103,det udom,14.906,105.0784,31.9,38,34,3.2,TH,"02/13/23,04:23:58"
104,ottawa,45.4112,-75.6981,-1.25,83,0,3.6,CA,"02/13/23,04:23:59"
105,pangnirtung,66.1451,-65.7125,-36.43,92,64,1.25,CA,"02/13/23,04:23:59"
106,cape town,-33.9258,18.4232,19.51,88,0,2.57,ZA,"02/13/23,04:22:37"
107,jamestown,42.097,-79.2353,2.8,35,0,0.0,US,"02/13/23,04:24:00"
108,uvat,59.1433,68.8953,-15.48,95,100,3.88,RU,"02/13/23,04:24:00"
109,atuona,-9.8,-139.0333,26.27,77,13,7.57,PF,"02/13/23,04:24:01"
110,coihaique,-45.5752,-72.0662,9.97,62,100,3.6,CL,"02/13/23,04:24:01"
111,barrow,71.2906,-156.7887,-28.99,83,40,3.6,US,"02/13/23,04:24:02"
112,severo-kurilsk,50.6789,156.125,-3.15,91,100,6.93,RU,"02/13/23,04:23:58"
113,leningradskiy,69.3833,178.4167,-31.21,93,99,3.64,RU,"02/13/23,04:24:03"
114,seminole,28.7086,-81.2081,13.56,76,75,4.63,US,"02/13/23,04:20:18"
115,stornoway,58.2093,-6.3865,7.98,78,100,10.29,GB,"02/13/23,04:24:04"
116,tecpan,14.7623,-90.9947,10.49,97,17,3.08,GT,"02/13/23,04:24:04"
117,acarau,-2.8856,-40.12,26.24,83,52,5.14,BR,"02/13/23,04:24:05"
118,dhidhdhoo,6.8833,73.1,26.96,67,0,4.32,MV,"02/13/23,04:24:06"
119,rogova,44.4717,22.8067,-0.61,89,8,1.28,RO,"02/13/23,04:24:06"
120,aden,12.7794,45.0367,24.85,59,0,6.77,YE,"02/13/23,04:24:06"
121,arraial do cabo,-22.9661,-42.0278,23.77,92,100,2.62,BR,"02/13/23,04:24:07"
122,qaqortoq,60.7167,-46.0333,-13.11,79,100,0.77,GL,"02/13/23,04:24:07"
123,kodiak,57.79,-152.4072,-8.27,49,0,14.92,US,"02/13/23,04:24:08"
124,faanui,-16.4833,-151.75,27.86,75,13,5.42,PF,"02/13/23,04:21:55"
125,hithadhoo,-0.6,73.0833,26.98,70,27,4.35,MV,"02/13/23,04:24:09"
126,sibolga,1.7427,98.7792,28.6,67,66,1.78,ID,"02/13/23,04:24:09"
127,narsaq,60.9167,-46.05,-16.88,78,100,0.75,GL,"02/13/23,04:24:10"
128,vostok,46.4856,135.8833,-13.57,78,98,4.59,RU,"02/13/23,04:24:10"
129,bluff,-46.6,168.3333,19.33,74,7,4.86,NZ,"02/13/23,04:14:59"
130,port lincoln,-34.7333,135.8667,18.87,56,16,4.99,AU,"02/13/23,04:24:11"
131,bay roberts,47.5999,-53.2648,-3.38,93,75,0.45,CA,"02/13/23,04:24:12"
132,marsa matruh,31.3525,27.2453,12.59,50,100,3.33,EG,"02/13/23,04:20:59"
133,pevek,69.7008,170.3133,-34.55,100,96,2.12,RU,"02/13/23,04:24:12"
134,nome,64.5011,-165.4064,-18.96,78,100,4.12,US,"02/13/23,04:24:13"
135,westport,41.1415,-73.3579,5.15,57,100,4.12,US,"02/13/23,04:19:56"
136,ostrovnoy,68.0531,39.5131,-1.75,91,100,7.7,RU,"02/13/23,04:21:12"
137,kalmunai,7.4167,81.8167,25.62,73,31,3.08,LK,"02/13/23,04:24:14"
138,timmins,48.4669,-81.3331,-1.1,93,100,4.63,CA,"02/13/23,04:24:07"
139,victoria,22.2855,114.1577,27.2,84,44,5.36,HK,"02/13/23,04:15:21"
140,namibe,-15.1961,12.1522,21.31,79,55,2.53,AO,"02/13/23,04:24:15"
141,mattoon,39.4831,-88.3728,5.97,42,0,2.57,US,"02/13/23,04:23:06"
142,ancud,-41.8697,-73.8203,11.37,69,29,2.83,CL,"02/13/23,04:24:16"
143,upernavik,72.7868,-56.1549,-25.8,95,100,3.05,GL,"02/13/23,04:24:16"
144,thompson,55.7435,-97.8558,-7.91,86,100,1.54,CA,"02/13/23,04:24:17"
145,verkhoyansk,67.5447,133.385,-41.23,94,65,0.8,RU,"02/13/23,04:24:17"
146,saint-philippe,-21.3585,55.7679,27.77,76,71,4.47,RE,"02/13/23,04:24:18"
147,nizwa,22.9333,57.5333,22.6,25,4,0.85,OM,"02/13/23,04:24:18"
148,ternate,0.8,127.4,27.75,80,81,5.6,ID,"02/13/23,04:24:19"
149,kavieng,-2.5744,150.7967,28.43,73,100,2.04,PG,"02/13/23,04:24:19"
150,ilulissat,69.2167,-51.1,-27.99,63,17,3.09,GL,"02/13/23,04:24:20"
151,dukat,62.55,155.55,-27.78,98,96,1.97,RU,"02/13/23,04:24:20"
152,ribeira grande,38.5167,-28.7,13.76,92,100,5.81,PT,"02/13/23,04:24:21"
153,rocha,-34.4833,-54.3333,23.92,57,0,6.1,UY,"02/13/23,04:24:22"
154,montepuez,-13.1256,38.9997,20.15,98,100,2.68,MZ,"02/13/23,04:24:23"
155,todos santos,23.45,-110.2167,18.5,77,99,3.16,MX,"02/13/23,04:24:23"
156,kaitangata,-46.2817,169.8464,21.55,58,46,7.81,NZ,"02/13/23,04:24:24"
157,tura,25.5198,90.2201,22.77,16,0,1.3,IN,"02/13/23,04:24:24"
158,kununurra,-15.7667,128.7333,32.99,55,40,2.57,AU,"02/13/23,04:24:25"
159,olafsvik,64.8945,-23.7142,6.98,93,100,15.9,IS,"02/13/23,04:24:25"
160,luganville,-15.5333,167.1667,26.14,92,100,3.07,VU,"02/13/23,04:24:26"
161,san juan,-31.5375,-68.5364,33.43,24,0,2.66,AR,"02/13/23,04:24:01"
162,port hueneme,34.1478,-119.1951,11.58,75,0,3.09,US,"02/13/23,04:24:27"
163,los llanos de aridane,28.6585,-17.9182,12.86,63,0,3.09,ES,"02/13/23,04:24:27"
164,andros town,24.7,-77.7667,21.98,68,5,7.58,BS,"02/13/23,04:24:28"
165,kalaleh,37.3807,55.4916,1.78,93,40,0.0,IR,"02/13/23,04:24:28"
166,nikolskoye,59.7035,30.7861,1.0,89,89,4.15,RU,"02/13/23,04:24:29"
167,troy,42.6056,-83.1499,4.3,67,0,1.54,US,"02/13/23,04:24:29"
168,oistins,13.0667,-59.5333,25.05,69,75,10.29,BB,"02/13/23,04:24:30"
169,ust-nera,64.5667,143.2,-30.81,98,97,0.59,RU,"02/13/23,04:24:30"
170,souillac,-20.5167,57.5167,27.21,65,20,3.6,MU,"02/13/23,04:24:31"
171,salalah,17.0151,54.0924,20.05,32,0,2.06,OM,"02/13/23,04:14:40"
172,atocha,-20.9333,-66.2333,10.63,66,71,1.68,BO,"02/13/23,04:24:32"
173,mayumba,-3.432,10.6554,26.1,90,100,4.33,GA,"02/13/23,04:24:32"
174,nyurba,63.2842,118.3319,-33.59,94,55,1.56,RU,"02/13/23,04:24:33"
175,laguna,38.421,-121.4238,15.99,55,0,3.09,US,"02/13/23,04:24:34"
176,colares,38.7992,-9.4469,11.85,73,98,3.58,PT,"02/13/23,04:24:34"
